Class,DEM,NDVI,NDWI,SAVI,VALUE,blue,green,.geo
Rice,7,0.498996851,-0.313046486,0.297073408,1,0.052704326,0.084750057,"{""type"":""Point"",""coordinates"":[106.05867958566476,21.103342305085363]}"
Rice,6,0.473149996,-0.301891064,0.264139421,1,0.049217323,0.080067453,"{""type"":""Point"",""coordinates"":[106.05809990252783,21.10307475902216]}"
Rice,5,0.471374789,-0.288369726,0.265461493,1,0.050479306,0.081036755,"{""type"":""Point"",""coordinates"":[106.05838974409629,21.10307475902216]}"
Rice,6,0.538677536,-0.309263551,0.321511611,1,0.049674285,0.082414777,"{""type"":""Point"",""coordinates"":[106.05867512656371,21.103070299921107]}"
Rice,5,0.439973806,-0.380604213,0.273847974,1,0.05494764,0.089403195,"{""type"":""Point"",""coordinates"":[106.17462067215543,21.082794767431093]}"
Rice,5,0.439976466,-0.380602576,0.273851889,1,0.054948346,0.089404259,"{""type"":""Point"",""coordinates"":[106.17491051372387,21.082794767431093]}"
Rice,6,0.489186171,-0.360621086,0.316336275,1,0.059795493,0.090247533,"{""type"":""Point"",""coordinates"":[106.17433083058694,21.082527221367883]}"
Rice,6,0.483922659,-0.34199181,0.31409436,1,0.055616916,0.091925174,"{""type"":""Point"",""coordinates"":[106.17462067215543,21.08252276226683]}"
Rice,6,0.509961775,-0.375394711,0.342191412,1,0.06149201,0.093730032,"{""type"":""Point"",""coordinates"":[106.17433083058692,21.082255216203624]}"
Rice,6,0.506632294,-0.370557721,0.338169407,1,0.055906763,0.092280447,"{""type"":""Point"",""coordinates"":[106.17461621305435,21.082255216203624]}"
Rice,4,0.656511435,-0.355495038,0.424099102,1,0.044882176,0.084424472,"{""type"":""Point"",""coordinates"":[106.39974730704073,21.070790867395214]}"
Rice,4,0.619144748,-0.364745407,0.388595355,1,0.047048982,0.083026585,"{""type"":""Point"",""coordinates"":[106.40003268950815,21.07078640829416]}"
Rice,1,0.611279214,-0.362953714,0.371237829,1,0.045630602,0.081666288,"{""type"":""Point"",""coordinates"":[106.39945300637119,21.07051886223096]}"
Rice,1,0.61143779,-0.345973693,0.375211234,1,0.046923048,0.083587742,"{""type"":""Point"",""coordinates"":[106.39974284793968,21.07051886223096]}"
Rice,2,0.535124484,-0.355526323,0.329195117,1,0.054073919,0.090069249,"{""type"":""Point"",""coordinates"":[106.40003268950817,21.0705144031299]}"
Rice,-1,0.634045803,-0.360594851,0.389932407,1,0.043022824,0.080702933,"{""type"":""Point"",""coordinates"":[106.39916316480274,21.07025131616774]}"
Rice,0,0.575785342,-0.358748885,0.354231643,1,0.047170523,0.085304185,"{""type"":""Point"",""coordinates"":[106.39945300637119,21.07025131616774]}"
Rice,0,0.508909648,-0.350729309,0.309863138,1,0.052777154,0.090888274,"{""type"":""Point"",""coordinates"":[106.39973838883863,21.070246857066696]}"
Rice,2,0.480834829,-0.332779467,0.297702913,1,0.060564481,0.085554337,"{""type"":""Point"",""coordinates"":[106.06794113855278,21.06588139713537]}"
Rice,4,0.310017662,-0.235781241,0.171724928,1,0.064815425,0.10322554,"{""type"":""Point"",""coordinates"":[105.96110553641327,21.066251502522803]}"
Rice,3,0.514329584,-0.331906656,0.325343501,1,0.05496566,0.085166084,"{""type"":""Point"",""coordinates"":[106.06794113855278,21.065613851072165]}"
Rice,2,0.393252751,-0.287138454,0.25032509,1,0.069146364,0.096635113,"{""type"":""Point"",""coordinates"":[106.06823098012124,21.06560939197111]}"
Rice,0,0.408475973,-0.280982194,0.256498591,1,0.067116937,0.095198879,"{""type"":""Point"",""coordinates"":[106.06851636258868,21.06560939197111]}"
Rice,6,0.306605829,-0.26030795,0.172440403,1,0.069752969,0.103601555,"{""type"":""Point"",""coordinates"":[105.96110553641327,21.065979497358544]}"
Rice,9,0.319386448,-0.233363371,0.186179628,1,0.069123521,0.101818197,"{""type"":""Point"",""coordinates"":[105.96139537798172,21.06597949735854]}"
Rice,10,0.307398159,-0.214238356,0.175880904,1,0.065972804,0.101349806,"{""type"":""Point"",""coordinates"":[105.96168076044917,21.06597503825749]}"
Rice,9,0.30401829,-0.234841892,0.169418902,1,0.063872545,0.0986702,"{""type"":""Point"",""coordinates"":[105.96197060201762,21.06597503825749]}"
Rice,4,0.482650636,-0.299875703,0.306165426,1,0.060425301,0.087716307,"{""type"":""Point"",""coordinates"":[106.06793667945173,21.065341845907902]}"
Rice,3,0.358447822,-0.259292781,0.223826379,1,0.068829568,0.097388055,"{""type"":""Point"",""coordinates"":[106.0682265210202,21.06533738680685]}"
Rice,3,0.38984929,-0.278845671,0.246882362,1,0.067481994,0.096541422,"{""type"":""Point"",""coordinates"":[106.06851636258868,21.06533738680685]}"
Rice,5,0.452604694,-0.297852956,0.288599108,1,0.059970544,0.09565294,"{""type"":""Point"",""coordinates"":[106.06880620415716,21.06533738680685]}"
Rice,6,0.515206533,-0.313280512,0.32581132,1,0.055870058,0.090155855,"{""type"":""Point"",""coordinates"":[106.06909158662455,21.065332927705796]}"
Rice,7,0.397473847,-0.32068443,0.245488558,1,0.071936394,0.101915666,"{""type"":""Point"",""coordinates"":[105.9608156948448,21.065711951295338]}"
Rice,9,0.313919983,-0.333767919,0.183752692,1,0.072064295,0.100032623,"{""type"":""Point"",""coordinates"":[105.96110107731222,21.065707492194285]}"
Rice,12,0.295841648,-0.344551697,0.177363111,1,0.073535899,0.100646553,"{""type"":""Point"",""coordinates"":[105.96139091888068,21.065707492194285]}"
Rice,12,0.297063036,-0.313813466,0.172621118,1,0.073179315,0.099847233,"{""type"":""Point"",""coordinates"":[105.96168076044917,21.06570303309323]}"
Rice,9,0.294900895,-0.312040665,0.169571591,1,0.072654488,0.09961321,"{""type"":""Point"",""coordinates"":[105.96197060201762,21.06570303309323]}"
Rice,6,0.295303138,-0.290619376,0.167672593,1,0.070814,0.098881155,"{""type"":""Point"",""coordinates"":[105.96225598448508,21.065703033093236]}"
Rice,2,0.278536319,-0.257006797,0.158431666,1,0.070428763,0.100558291,"{""type"":""Point"",""coordinates"":[105.96254582605353,21.06569857399218]}"
Rice,1,0.278537823,-0.257005662,0.158433658,1,0.070429959,0.100559475,"{""type"":""Point"",""coordinates"":[105.96283566762199,21.06569857399218]}"
Rice,4,0.425339964,-0.276519045,0.271047395,1,0.064408013,0.092563614,"{""type"":""Point"",""coordinates"":[106.06793667945173,21.06506984074364]}"
