"Value","Class","Type"
0.455888699,"NDWI-Water","Non-rice"
0.450253208,"NDWI-Water","Non-rice"
0.452767301,"NDWI-Water","Non-rice"
0.452327062,"NDWI-Water","Non-rice"
0.445944531,"NDWI-Water","Non-rice"
0.447819696,"NDWI-Water","Non-rice"
0.459676228,"NDWI-Water","Non-rice"
0.469387704,"NDWI-Water","Non-rice"
0.483814029,"NDWI-Water","Non-rice"
0.483855748,"NDWI-Water","Non-rice"
0.48409436,"NDWI-Water","Non-rice"
0.482790255,"NDWI-Water","Non-rice"
0.488843511,"NDWI-Water","Non-rice"
0.442262149,"NDWI-Water","Non-rice"
0.44180251,"NDWI-Water","Non-rice"
0.441803446,"NDWI-Water","Non-rice"
0.441246986,"NDWI-Water","Non-rice"
0.438358295,"NDWI-Water","Non-rice"
0.439551298,"NDWI-Water","Non-rice"
0.44220895,"NDWI-Water","Non-rice"
0.443973516,"NDWI-Water","Non-rice"
0.445940705,"NDWI-Water","Non-rice"
0.449000182,"NDWI-Water","Non-rice"
0.460889663,"NDWI-Water","Non-rice"
0.469501692,"NDWI-Water","Non-rice"
0.47186873,"NDWI-Water","Non-rice"
0.474961207,"NDWI-Water","Non-rice"
0.475165087,"NDWI-Water","Non-rice"
0.477874131,"NDWI-Water","Non-rice"
0.424095104,"NDWI-Water","Non-rice"
0.427443754,"NDWI-Water","Non-rice"
0.429626487,"NDWI-Water","Non-rice"
0.429627435,"NDWI-Water","Non-rice"
0.429628384,"NDWI-Water","Non-rice"
0.426814231,"NDWI-Water","Non-rice"
0.435437665,"NDWI-Water","Non-rice"
0.439246861,"NDWI-Water","Non-rice"
0.436584175,"NDWI-Water","Non-rice"
0.442667346,"NDWI-Water","Non-rice"
0.446664184,"NDWI-Water","Non-rice"
0.459696674,"NDWI-Water","Non-rice"
0.467640467,"NDWI-Water","Non-rice"
0.463138618,"NDWI-Water","Non-rice"
0.466284563,"NDWI-Water","Non-rice"
0.41578217,"NDWI-Water","Non-rice"
0.42004314,"NDWI-Water","Non-rice"
0.427279846,"NDWI-Water","Non-rice"
0.439019518,"NDWI-Water","Non-rice"
0.439020457,"NDWI-Water","Non-rice"
0.437236058,"NDWI-Water","Non-rice"
0.43781568,"NDWI-Water","Non-rice"
0.43667832,"NDWI-Water","Non-rice"
0.439655162,"NDWI-Water","Non-rice"
0.443589778,"NDWI-Water","Non-rice"
0.44630875,"NDWI-Water","Non-rice"
0.448475358,"NDWI-Water","Non-rice"
0.448118782,"NDWI-Water","Non-rice"
0.458309411,"NDWI-Water","Non-rice"
0.459088623,"NDWI-Water","Non-rice"
0.463763522,"NDWI-Water","Non-rice"
0.463511081,"NDWI-Water","Non-rice"
0.414840715,"NDWI-Water","Non-rice"
0.425329765,"NDWI-Water","Non-rice"
0.423302585,"NDWI-Water","Non-rice"
0.442137595,"NDWI-Water","Non-rice"
0.442138531,"NDWI-Water","Non-rice"
0.446668375,"NDWI-Water","Non-rice"
0.448000485,"NDWI-Water","Non-rice"
0.440265251,"NDWI-Water","Non-rice"
0.442824191,"NDWI-Water","Non-rice"
0.45242629,"NDWI-Water","Non-rice"
0.467612872,"NDWI-Water","Non-rice"
0.463097223,"NDWI-Water","Non-rice"
0.464913407,"NDWI-Water","Non-rice"
0.459368621,"NDWI-Water","Non-rice"
0.45455107,"NDWI-Water","Non-rice"
0.455185009,"NDWI-Water","Non-rice"
0.451384326,"NDWI-Water","Non-rice"
0.4270554,"NDWI-Water","Non-rice"
0.429262911,"NDWI-Water","Non-rice"
0.427415018,"NDWI-Water","Non-rice"
0.439951485,"NDWI-Water","Non-rice"
0.439952423,"NDWI-Water","Non-rice"
0.450612608,"NDWI-Water","Non-rice"
0.456165278,"NDWI-Water","Non-rice"
0.45941637,"NDWI-Water","Non-rice"
0.459502651,"NDWI-Water","Non-rice"
0.465615604,"NDWI-Water","Non-rice"
0.466666198,"NDWI-Water","Non-rice"
0.467999027,"NDWI-Water","Non-rice"
0.465968695,"NDWI-Water","Non-rice"
0.463228344,"NDWI-Water","Non-rice"
0.451452383,"NDWI-Water","Non-rice"
0.446090883,"NDWI-Water","Non-rice"
0.439928936,"NDWI-Water","Non-rice"
0.432380048,"NDWI-Water","Non-rice"
0.43200503,"NDWI-Water","Non-rice"
0.433419575,"NDWI-Water","Non-rice"
0.44833088,"NDWI-Water","Non-rice"
0.453420378,"NDWI-Water","Non-rice"
0.461812542,"NDWI-Water","Non-rice"
0.45650538,"NDWI-Water","Non-rice"
0.456423331,"NDWI-Water","Non-rice"
0.463000287,"NDWI-Water","Non-rice"
0.461100409,"NDWI-Water","Non-rice"
0.457079793,"NDWI-Water","Non-rice"
0.44416477,"NDWI-Water","Non-rice"
0.443668675,"NDWI-Water","Non-rice"
0.441841581,"NDWI-Water","Non-rice"
0.442209086,"NDWI-Water","Non-rice"
0.441170023,"NDWI-Water","Non-rice"
0.425660219,"NDWI-Water","Non-rice"
0.422037513,"NDWI-Water","Non-rice"
0.425598021,"NDWI-Water","Non-rice"
0.434843076,"NDWI-Water","Non-rice"
0.444728899,"NDWI-Water","Non-rice"
0.454855964,"NDWI-Water","Non-rice"
0.448120457,"NDWI-Water","Non-rice"
0.45141143,"NDWI-Water","Non-rice"
0.447251021,"NDWI-Water","Non-rice"
0.451063216,"NDWI-Water","Non-rice"
0.450509181,"NDWI-Water","Non-rice"
0.440902468,"NDWI-Water","Non-rice"
0.422479525,"NDWI-Water","Non-rice"
0.416551719,"NDWI-Water","Non-rice"
0.417625981,"NDWI-Water","Non-rice"
0.433757271,"NDWI-Water","Non-rice"
0.4347185,"NDWI-Water","Non-rice"
0.433259195,"NDWI-Water","Non-rice"
0.433260144,"NDWI-Water","Non-rice"
0.407396234,"NDWI-Water","Non-rice"
0.431392225,"NDWI-Water","Non-rice"
0.441425946,"NDWI-Water","Non-rice"
0.441919752,"NDWI-Water","Non-rice"
0.434687196,"NDWI-Water","Non-rice"
0.438597035,"NDWI-Water","Non-rice"
0.44221853,"NDWI-Water","Non-rice"
0.424330117,"NDWI-Water","Non-rice"
0.422263342,"NDWI-Water","Non-rice"
0.427348261,"NDWI-Water","Non-rice"
0.41084138,"NDWI-Water","Non-rice"
0.394278796,"NDWI-Water","Non-rice"
0.391721963,"NDWI-Water","Non-rice"
0.400214897,"NDWI-Water","Non-rice"
0.40854438,"NDWI-Water","Non-rice"
0.433259438,"NDWI-Water","Non-rice"
0.433260387,"NDWI-Water","Non-rice"
0.419724597,"NDWI-Water","Non-rice"
0.419523335,"NDWI-Water","Non-rice"
0.414254674,"NDWI-Water","Non-rice"
0.414919931,"NDWI-Water","Non-rice"
0.430997182,"NDWI-Water","Non-rice"
0.428881088,"NDWI-Water","Non-rice"
0.402407808,"NDWI-Water","Non-rice"
0.379477457,"NDWI-Water","Non-rice"
0.392668538,"NDWI-Water","Non-rice"
0.41059206,"NDWI-Water","Non-rice"
0.398339176,"NDWI-Water","Non-rice"
0.385802263,"NDWI-Water","Non-rice"
0.379872423,"NDWI-Water","Non-rice"
0.389236528,"NDWI-Water","Non-rice"
0.432154881,"NDWI-Water","Non-rice"
0.432155831,"NDWI-Water","Non-rice"
0.431205142,"NDWI-Water","Non-rice"
0.396496741,"NDWI-Water","Non-rice"
0.387435879,"NDWI-Water","Non-rice"
0.388018107,"NDWI-Water","Non-rice"
0.393919655,"NDWI-Water","Non-rice"
0.400846728,"NDWI-Water","Non-rice"
0.39718427,"NDWI-Water","Non-rice"
0.39056488,"NDWI-Water","Non-rice"
0.400635765,"NDWI-Water","Non-rice"
0.408661435,"NDWI-Water","Non-rice"
0.399164546,"NDWI-Water","Non-rice"
0.396333585,"NDWI-Water","Non-rice"
0.39689975,"NDWI-Water","Non-rice"
0.389236782,"NDWI-Water","Non-rice"
0.404868413,"NDWI-Water","Non-rice"
0.425349371,"NDWI-Water","Non-rice"
0.437076559,"NDWI-Water","Non-rice"
0.43252672,"NDWI-Water","Non-rice"
0.35872206,"NDWI-Water","Non-rice"
0.344094551,"NDWI-Water","Non-rice"
0.340723583,"NDWI-Water","Non-rice"
0.3587864,"NDWI-Water","Non-rice"
0.369127345,"NDWI-Water","Non-rice"
0.381393024,"NDWI-Water","Non-rice"
0.390416687,"NDWI-Water","Non-rice"
0.392922986,"NDWI-Water","Non-rice"
0.402622748,"NDWI-Water","Non-rice"
0.409321338,"NDWI-Water","Non-rice"
0.396333837,"NDWI-Water","Non-rice"
0.396900002,"NDWI-Water","Non-rice"
0.39185821,"NDWI-Water","Non-rice"
0.400409029,"NDWI-Water","Non-rice"
0.42696811,"NDWI-Water","Non-rice"
0.444896508,"NDWI-Water","Non-rice"
0.44788449,"NDWI-Water","Non-rice"
0.357310147,"NDWI-Water","Non-rice"
0.335739261,"NDWI-Water","Non-rice"
0.346241029,"NDWI-Water","Non-rice"
0.360886341,"NDWI-Water","Non-rice"
0.368645179,"NDWI-Water","Non-rice"
0.375162439,"NDWI-Water","Non-rice"
0.38507673,"NDWI-Water","Non-rice"
0.398003887,"NDWI-Water","Non-rice"
0.409321587,"NDWI-Water","Non-rice"
0.416337878,"NDWI-Water","Non-rice"
0.413708658,"NDWI-Water","Non-rice"
0.408309164,"NDWI-Water","Non-rice"
0.412492264,"NDWI-Water","Non-rice"
0.420434322,"NDWI-Water","Non-rice"
0.43567306,"NDWI-Water","Non-rice"
0.438723376,"NDWI-Water","Non-rice"
0.446916746,"NDWI-Water","Non-rice"
0.330158503,"NDWI-Water","Non-rice"
0.316624105,"NDWI-Water","Non-rice"
0.333637477,"NDWI-Water","Non-rice"
0.361535053,"NDWI-Water","Non-rice"
0.372108805,"NDWI-Water","Non-rice"
0.385076984,"NDWI-Water","Non-rice"
0.398004139,"NDWI-Water","Non-rice"
0.402779863,"NDWI-Water","Non-rice"
0.416157752,"NDWI-Water","Non-rice"
0.41559002,"NDWI-Water","Non-rice"
0.409911082,"NDWI-Water","Non-rice"
0.413839484,"NDWI-Water","Non-rice"
0.418003523,"NDWI-Water","Non-rice"
0.422339632,"NDWI-Water","Non-rice"
0.426467789,"NDWI-Water","Non-rice"
0.433350771,"NDWI-Water","Non-rice"
0.441410344,"NDWI-Water","Non-rice"
0.34331805,"NDWI-Water","Non-rice"
0.342708208,"NDWI-Water","Non-rice"
0.324419595,"NDWI-Water","Non-rice"
0.343815829,"NDWI-Water","Non-rice"
0.372109063,"NDWI-Water","Non-rice"
0.368253817,"NDWI-Water","Non-rice"
0.385777977,"NDWI-Water","Non-rice"
0.394015214,"NDWI-Water","Non-rice"
0.403396,"NDWI-Water","Non-rice"
0.409402981,"NDWI-Water","Non-rice"
0.40656551,"NDWI-Water","Non-rice"
0.410675994,"NDWI-Water","Non-rice"
0.416672559,"NDWI-Water","Non-rice"
